naam,calorieen,eiwitten,koolhydraten,vetten,vezels,gewicht_per_stuk,ml_per_portie,standaard_eenheid
Aardappelen,88,2,19,0,"1,8",135.0,0,stuk
Aardappelen nieuwe,88,2,19,0,"1,8",135.0,0,stuk
Aardappelen oude,88,2,19,0,"1,8",135.0,0,stuk
Pasta witte,356,"12,3",72,"1,5",3,0.0,0,
Rijst witte,352,7,78,1,"1,3",0.0,0,
Andijvie,16,"1,5",1,"0,3","1,7",0.0,0,
Asperge witte,22,1,3,"0,3","1,7",0.0,0,
Aubergine,20,1,3,0,2,0.0,0,
Biet rode,38,"1,7",6,"0,1","2,9",0.0,0,
Kool bloem-,25,"1,9",3,"0,2","2,2",0.0,0,
Cantharel,16,"1,8",1,0,"2,5",0.0,0,
Champignon,18,"2,3","0,4","0,5","1,5",0.0,0,
Kool Chinese,17,1,2,0,"2,5",0.0,0,
Doperwten,65,4,10,0,"4,7",0.0,0,
Kool groene,36,"2,4","4,1","0,2","4,1",0.0,0,
Komkommer z schil,15,"0,6","2,5","0,2","0,3",400.0,0,stuk
Paprika groene,19,"0,8","2,5","0,1","2,5",150.0,0,stuk
Rozijnen gedroogd,325,"3,1","71,7","0,5","3,7",0.0,0,
Peultjes,33,2,5,0,"2,5",0.0,0,
Raapstelen,17,2,1,0,"2,3",0.0,0,
Rabarber,23,1,2,0,"1,8",0.0,0,
Kool rode,27,2,3,0,"3,6",0.0,0,
Schorseneren,76,1,15,1,"1,7",0.0,0,
Sla krop-,13,"1,4","0,3","0,4","1,2",0.0,0,
Bonen snij-,22,"1,9",2,"0,1","2,7",0.0,0,
Sperziebonen,25,"2,3","1,8","0,2","3,6",0.0,0,
Spinazie,26,"3,2","0,9","0,6",2,0.0,0,
Kool spits-,42,3,4,1,"2,5",0.0,0,
Tauge,25,"2,2","3,2","0,1","1,2",0.0,0,
Tomaat gewoon,20,"0,7","2,9","0,4","1,3",100.0,0,stuk
Bonen tuin-,51,5,4,0,"7,3",150.0,0,stuk
Ui,37,"1,3","6,3","0,2","2,7",150.0,0,stuk
Sla veld-,18,"2,6","0,5","0,2","1,7",0.0,0,
Witlof,19,"1,3","2,4","0,2","1,2",0.0,0,
Kool witte,30,2,4,0,"2,8",0.0,0,
Wortel  gem,32,"0,8","5,3","0,3","2,8",95.0,0,stuk
Kool zuur-,13,"1,1","0,6",0,"3,2",0.0,0,
Groente soep-,32,"1,5","4,6","0,2","3,2",0.0,250,kom
Meel gries-,337,11,70,1,2,0.0,0,
Bloem rijste-,352,7,78,1,"1,3",0.0,0,
Vermicelli,354,12,71,2,2,0.0,0,
Ei kippen-  gem,132,"12,3","0,2","9,1",0,0.0,0,
Eidooier kippen-,361,"16,7","0,2","32,6",0,0.0,0,
