naam,calorieen,eiwitten,koolhydraten,vetten,vezels,gewicht_per_stuk,ml_per_portie,standaard_eenheid
Aardappelen,88.0,2.0,19.0,0.0,1.8,135.0,0.0,stuk
Aardappelen nieuwe,88.0,2.0,19.0,0.0,1.8,135.0,0.0,stuk
Aardappelen oude,88.0,2.0,19.0,0.0,1.8,135.0,0.0,stuk
Pasta witte,356.0,12.3,72.0,1.5,3.0,0.0,0.0,
Rijst witte,352.0,7.0,78.0,1.0,1.3,0.0,0.0,
Andijvie,16.0,1.5,1.0,0.3,1.7,0.0,0.0,
Asperge witte,22.0,1.0,3.0,0.3,1.7,0.0,0.0,
Aubergine,20.0,1.0,3.0,0.0,2.0,0.0,0.0,
Biet rode,38.0,1.7,6.0,0.1,2.9,0.0,0.0,
Bloemkool,25.0,1.9,3.0,0.2,2.2,0.0,0.0,
Cantharel,16.0,1.8,1.0,0.0,2.5,0.0,0.0,
Champignon,18.0,2.3,0.4,0.5,1.5,0.0,0.0,
Chinese kool,17.0,1.0,2.0,0.0,2.5,0.0,0.0,
Doperwten,65.0,4.0,10.0,0.0,4.7,0.0,0.0,
Kool groene,36.0,2.4,4.1,0.2,4.1,0.0,0.0,
Komkommer z schil,15.0,0.6,2.5,0.2,0.3,400.0,0.0,stuk
Paprika groene,19.0,0.8,2.5,0.1,2.5,150.0,0.0,stuk
Rozijnen gedroogd,325.0,3.1,71.7,0.5,3.7,0.0,0.0,
Peultjes,33.0,2.0,5.0,0.0,2.5,0.0,0.0,
Raapstelen,17.0,2.0,1.0,0.0,2.3,0.0,0.0,
Rabarber,23.0,1.0,2.0,0.0,1.8,0.0,0.0,
Kool rode,27.0,2.0,3.0,0.0,3.6,0.0,0.0,
Schorseneren,76.0,1.0,15.0,1.0,1.7,0.0,0.0,
Sla krop-,13.0,1.4,0.3,0.4,1.2,0.0,0.0,
Bonen snij-,22.0,1.9,2.0,0.1,2.7,0.0,0.0,
Sperziebonen,25.0,2.3,1.8,0.2,3.6,0.0,0.0,
Spinazie,26.0,3.2,0.9,0.6,2.0,0.0,0.0,
Kool spits-,42.0,3.0,4.0,1.0,2.5,0.0,0.0,
Tauge,25.0,2.2,3.2,0.1,1.2,0.0,0.0,
Tomaat gewoon,20.0,0.7,2.9,0.4,1.3,100.0,0.0,stuk
Bonen tuin-,51.0,5.0,4.0,0.0,7.3,150.0,0.0,stuk
Ui,37.0,1.3,6.3,0.2,2.7,150.0,0.0,stuk
Sla veld-,18.0,2.6,0.5,0.2,1.7,0.0,0.0,
Witlof,19.0,1.3,2.4,0.2,1.2,0.0,0.0,
Kool witte,30.0,2.0,4.0,0.0,2.8,0.0,0.0,
Wortel gem,32.0,0.8,5.3,0.3,2.8,95.0,0.0,stuk
Kool zuur-,13.0,1.1,0.6,0.0,3.2,0.0,0.0,
Groente soep-,32.0,1.5,4.6,0.2,3.2,0.0,250.0,kom
Meel gries-,337.0,11.0,70.0,1.0,2.0,0.0,0.0,
Bloem rijste-,352.0,7.0,78.0,1.0,1.3,0.0,0.0,
Vermicelli,354.0,12.0,71.0,2.0,2.0,0.0,0.0,
Ei kippen- gem,132.0,12.3,0.2,9.1,0.0,60.0,0.0,
Eidooier kippen-,361.0,16.7,0.2,32.6,0.0,60.0,0.0,
Eipoeder kippen-,574.0,46.0,3.0,42.0,0.0,60.0,0.0,
Paardenvlees,99.0,22.4,0.0,1.0,0.0,0.0,0.0,
Schapenvlees >10 g vet gem,293.0,17.0,0.0,25.0,0.0,0.0,0.0,
Kalfshersenen,108.0,9.0,0.0,8.0,0.0,0.0,0.0,
Eend m vel,388.0,13.1,0.0,37.3,0.0,0.0,0.0,
Haas,115.0,22.0,0.0,3.0,0.0,0.0,0.0,
Kip m vel,218.0,18.3,0.0,16.0,0.0,0.0,0.0,
Konijn tam,174.0,21.0,0.0,10.0,0.0,0.0,0.0,
Konijn wild,125.0,20.0,0.0,5.0,0.0,0.0,0.0,
Paling,372.0,14.0,0.0,35.1,0.0,0.0,0.0,
Haring pan-,199.0,16.0,0.0,15.0,0.0,0.0,0.0,
Vis mager 0-5 g vet gem,92.0,19.7,0.0,1.5,0.0,0.0,0.0,
Vis vet >5 g vet gem,242.0,17.2,0.3,19.1,0.0,0.0,0.0,
Bonen witte/bruine gedroogd,314.0,20.1,44.2,2.4,18.1,150.0,0.0,stuk
Erwten groene gedroogd,315.0,21.0,43.0,2.0,20.4,0.0,0.0,
